iter	Logloss
129	0.5159601309
130	0.5156978735
131	0.5153680881
132	0.5151289255
133	0.5147493782
134	0.5144814154
135	0.5141813061
136	0.5140660891
137	0.5135851329
138	0.5131176577
139	0.5127754852
140	0.5124141488
141	0.5121656224
142	0.511957881
143	0.5116963797
144	0.5114118218
145	0.5111152169
146	0.5109054457
147	0.5105586558
148	0.510265764
149	0.509984948
150	0.5095527764
151	0.5092346479
152	0.5089804259
153	0.5086695197
154	0.5084615065
155	0.5082470458
156	0.5078645297
157	0.5074589667
158	0.5070746541
159	0.5067661845
160	0.5063938423
161	0.5061609258
162	0.5058111878
163	0.5055399766
164	0.5052439927
165	0.505077844
166	0.5046639813
167	0.5043393779
168	0.504049356
169	0.503646399
170	0.5033024118
171	0.5030868908
172	0.5027876802
173	0.5024470492
174	0.5020879466
175	0.5017574297
176	0.5015816686
177	0.5013726144
178	0.5011717097
179	0.5009043974
180	0.500649509
181	0.5004545303
182	0.5001149695
183	0.4999468821
184	0.4996885085
185	0.4994599402
186	0.4991190263
187	0.4988320348
188	0.4986114567
189	0.4984069484
190	0.4981684241
191	0.4978355167
192	0.4975425335
193	0.4973816451
194	0.4971429209
195	0.4969019048
196	0.4965829008
197	0.4963502146
198	0.4961587478
199	0.4960510047
200	0.4957267169
201	0.4955674962
202	0.495402574
203	0.4952042532
204	0.4948946405
205	0.4946191927
206	0.4944286576
207	0.4942148492
208	0.4939337106
209	0.4935931735
210	0.4934475808
211	0.4931227951
212	0.4927971212
213	0.4926111645
214	0.4923262456
215	0.4920035745
216	0.4917590648
217	0.4915207579
218	0.4912407081
219	0.4910502954
220	0.4908969361
221	0.4904398312
222	0.4901550234
223	0.4899467399
224	0.4897895076
225	0.4895199992
226	0.4892390725
227	0.4890486095
228	0.4889208444
229	0.488649206
230	0.4883974419
231	0.4882281771
232	0.4879334964
233	0.4875662859
234	0.4873673034
235	0.4871435229
236	0.487001564
237	0.4867550147
238	0.4864797196
239	0.4862118068
240	0.4859405509
241	0.4856506851
242	0.485483079
243	0.4853369234
244	0.484986126
245	0.4847870954
246	0.4844838589
247	0.4841847051
248	0.4840175057
249	0.4839232629
250	0.4837957312
251	0.4835697491
252	0.4833899854
253	0.48309627
254	0.4829997139
255	0.482734524
256	0.4826110589
257	0.4824666577
258	0.4822134725
259	0.4820276054
260	0.4816970325
261	0.4815317694
262	0.4812355234
263	0.480994737
264	0.4807924203
265	0.4804427884
266	0.4801754561
267	0.4799970203
268	0.4797372687
269	0.4795708277
270	0.4792872244
271	0.4791098066
272	0.4787704274
273	0.4786181148
274	0.4784589284
275	0.4783479543
276	0.4779808521
277	0.4778958307
278	0.4777512427
279	0.4774928036
280	0.4773564821
281	0.4771198639
282	0.4768753274
283	0.4766448299
284	0.4763332876
285	0.4761068618
286	0.4759884659
287	0.475744273
288	0.475585104
289	0.4754046248
290	0.4751249421
291	0.4748624473
292	0.4747236664
293	0.4745479329
294	0.474332909
295	0.4740193869
296	0.4737924533
297	0.4735199135
298	0.4734541058
299	0.4732014247
300	0.4730349086
301	0.4728112322
302	0.4724257028
303	0.4722673549
304	0.4720539792
305	0.4719122279
306	0.4716763347
307	0.471431755
308	0.4711851295
309	0.4708689089
310	0.4706307579
311	0.4703016294
312	0.4700776171
313	0.4699716186
314	0.4696460548
315	0.4695706745
316	0.4693621295
317	0.469145857
318	0.4689145321
319	0.4687421932
320	0.4685331978
321	0.4683886583
322	0.4681881673
323	0.4681640081
324	0.4678950097
325	0.4676284025
326	0.4673349427
327	0.4670631528
328	0.4667469317
329	0.466588809
330	0.4663450229
331	0.4660902803
332	0.4657487008
333	0.4654496099
334	0.4652223323
335	0.4648955782
336	0.4646280571
337	0.4643443152
338	0.4641912179
339	0.463973312
340	0.4637383589
341	0.4632966668
342	0.4631542483
343	0.4629567359
344	0.4626713238
345	0.462302913
346	0.462195341
347	0.4620194625
348	0.4617805254
349	0.4615836354
350	0.4613523452
351	0.4611952126
352	0.4610541221
353	0.4607856945
354	0.4606483913
355	0.4604127079
356	0.4601979933
357	0.4598849308
358	0.4596232544
359	0.4593840394
360	0.4590643098
361	0.4587954111
362	0.4585595746
363	0.4583579854
364	0.4580385963
365	0.4578942286
366	0.4576446607
367	0.4574317906
368	0.4571639059
369	0.456981008
370	0.4567315417
371	0.4565135852
372	0.4562994982
373	0.4560584833
374	0.4558519107
375	0.455576318
376	0.4553459174
377	0.4551641109
378	0.4549291264
379	0.4547007325
380	0.4544345206
381	0.454207759
382	0.4540406388
383	0.4538406681
384	0.4536175137
385	0.4534059938
386	0.4532017134
387	0.4528877308
388	0.4527108807
389	0.4524807444
390	0.4523068328
391	0.4520285203
392	0.4517340366
393	0.4514276989
394	0.4513185253
395	0.4510124186
396	0.4507329067
397	0.4504629895
398	0.4502964831
399	0.4501204915
400	0.449924549
401	0.4496195721
402	0.4493729694
403	0.4491069825
404	0.448906148
405	0.4487691444
406	0.4484526577
407	0.4481540854
408	0.4479018249
409	0.4476395985
410	0.4473592079
411	0.4471286052
412	0.4468544275
413	0.4467040884
414	0.4465652685
415	0.4463712547
416	0.4460965707
417	0.4459003613
418	0.4455615863
419	0.4453324875
420	0.4450734819
421	0.4448327301
422	0.4445941572
423	0.4444242262
424	0.444167282
425	0.4438408552
426	0.44358275
427	0.4433205583
428	0.4430419494
429	0.4426809071
430	0.4425178758
431	0.4423747124
432	0.4421416999
433	0.4419846671
434	0.4417143875
435	0.4414743922
436	0.4411526754
437	0.4408257503
438	0.4405509546
439	0.4402734709
440	0.4400161944
441	0.4398106797
442	0.439607656
443	0.4394284413
444	0.439165799
445	0.438845691
446	0.438679808
447	0.438365675
448	0.4381917964
449	0.4379378968
450	0.4376022628
451	0.4373637873
452	0.43707996
453	0.4367963584
454	0.4365861422
455	0.4362947409
456	0.4360310355
457	0.4358223693
458	0.4355617124
459	0.4353203348
460	0.4351354355
461	0.4349699352
462	0.4347807905
463	0.4345367238
464	0.434377967
465	0.4340960404
466	0.4338625055
467	0.4336142823
468	0.4334606766
469	0.433163349
470	0.4329861249
471	0.4328164276
472	0.4326437988
473	0.4324532124
474	0.432183312
475	0.431889382
476	0.4316620801
477	0.4314740329
478	0.431286964
479	0.43110121
480	0.4308782657
481	0.4307391465
482	0.4305131714
483	0.4302203904
484	0.4300180689
485	0.4297787389
486	0.429634026
487	0.4293618177
488	0.4292018149
489	0.4290589845
490	0.4288740248
491	0.428634172
492	0.4283446906
493	0.42817634
494	0.4279533976
495	0.4277220461
496	0.4275655278
497	0.427381452
498	0.4271876627
499	0.4270094272
500	0.4267113105
501	0.4264975645
502	0.4262627016
503	0.4261217126
504	0.4259678614
505	0.4256709266
506	0.4254566856
507	0.4252587795
508	0.425012529
509	0.4248264168
510	0.4246775313
511	0.4243988599
512	0.4241914486
513	0.4238935042
514	0.4236047233
515	0.4233605861
516	0.4231192709
517	0.4229129713
518	0.4227065214
519	0.4224990395
520	0.4222936424
521	0.4219962889
522	0.4218270164
523	0.421493197
524	0.4212768073
525	0.4210506059
526	0.420827314
527	0.4206180227
528	0.4203431986
529	0.4200863233
530	0.4198205488
531	0.41959085
532	0.4194101743
533	0.4191359804
534	0.4189229714
535	0.4187664177
536	0.4185905608
537	0.4183684576
538	0.4182934007
539	0.4180888266
540	0.4178668509
541	0.4176151197
542	0.4173013684
543	0.4169674366
544	0.4168177116
545	0.4166786405
546	0.4164989849
547	0.4163343643
548	0.4161306764
549	0.4158725342
550	0.4156568732
551	0.4154163979
552	0.4151807156
553	0.4149343298
554	0.4147705934
555	0.4145094942
556	0.4142632838
557	0.4140983339
558	0.413875013
559	0.4136451118
560	0.4135061894
561	0.4134130937
562	0.4132426164
563	0.413081106
564	0.4129244582
565	0.4126056738
566	0.4123896134
567	0.4121150628
568	0.4118408631
569	0.4117030757
570	0.4114902751
571	0.4113306017
572	0.411051753
573	0.4108505859
574	0.4105813431
575	0.4103600722
576	0.4100540065
577	0.4097938898
578	0.4096259459
579	0.4094091398
580	0.4092110195
581	0.4090437583
582	0.4088826012
583	0.4086286723
584	0.4084291895
585	0.4082831477
586	0.407950042
587	0.4076963328
588	0.4075352096
589	0.4073534244
590	0.4071659773
591	0.4069621387
592	0.406701955
593	0.4064942972
594	0.4063531406
595	0.4062273632
596	0.4059442223
597	0.4056899197
598	0.4054769686
599	0.4052332824
600	0.4048365231
601	0.4046395077
602	0.404396251
603	0.4042313629
604	0.4039977148
605	0.4037700026
606	0.4036472121
607	0.4034152989
608	0.4031179053
609	0.4029073204
610	0.4026179386
611	0.4023859082
612	0.4021685603
613	0.4020927056
614	0.4019020517
615	0.401608236
616	0.4014027373
617	0.4011349885
618	0.400898192
619	0.4007478315
620	0.4005608233
621	0.400403416
622	0.4001308136
623	0.3998929786
624	0.399617964
625	0.3993770072
626	0.3991772886
627	0.3989839019
628	0.3987961784
629	0.3986327029
630	0.3984315214
631	0.3983093971
632	0.3981686564
633	0.3980161195
634	0.3978332538
635	0.3976658001
636	0.3974719318
637	0.397282749
638	0.3970474197
639	0.3968440542
640	0.3968021138
641	0.3965994096
642	0.3964306199
643	0.3962585541
644	0.3961011994
645	0.3959642288
646	0.3957331673
647	0.395554467
648	0.3953989952
649	0.3951142943
650	0.3949199702
651	0.3947428682
652	0.394547281
653	0.3942356401
654	0.3940093806
655	0.3938135143
656	0.3936105753
657	0.3933592142
658	0.3931272891
659	0.3929087881
660	0.3927960259
661	0.3926227236
662	0.3924788444
663	0.3922158119
664	0.3919957687
665	0.3918564444
666	0.3916182977
667	0.3914324159
668	0.3912685415
669	0.3910669841
670	0.3909150982
671	0.3907338695
672	0.3906121076
673	0.3905136011
674	0.3903251975
675	0.3901767135
676	0.3900298549
677	0.3898615718
678	0.3896455814
679	0.3895040997
680	0.3892750657
681	0.3891071993
682	0.38898171
683	0.3889227352
684	0.3887289911
685	0.3886356175
686	0.3884709929
687	0.3882640261
688	0.3880578077
689	0.3878854499
690	0.3877065268
691	0.3874925082
692	0.3873515031
693	0.3871002084
694	0.3869000429
695	0.3867601227
696	0.386513413
697	0.3863466019
698	0.3862090639
699	0.3861248936
700	0.3859987042
701	0.3858876492
702	0.3856836124
703	0.3854527481
704	0.3852958586
705	0.385145445
706	0.384854583
707	0.3846649274
708	0.3844432492
709	0.3842344446
710	0.3841439337
711	0.3839553145
712	0.383810013
713	0.383549688
714	0.383344225
715	0.3832022909
716	0.3830276798
717	0.382840682
718	0.3826292575
719	0.3825050241
720	0.3824019738
721	0.3821839717
722	0.3820350716
723	0.3818654012
724	0.3816456193
725	0.3814957482
726	0.3813031936
727	0.3810611557
728	0.3809671049
729	0.3808290509
730	0.3806486507
731	0.3804378835
732	0.3803128302
733	0.3800874731
734	0.3798990174
735	0.3797516613
736	0.3796164021
737	0.3794359963
738	0.3793160737
739	0.3791620578
740	0.3790300247
741	0.3788375233
742	0.378610684
743	0.3784147873
744	0.3783047442
745	0.3781817228
746	0.3779826808
747	0.3778529654
748	0.3776248309
749	0.3774367224
750	0.3772269312
751	0.3770962922
752	0.3768863529
753	0.3767778565
754	0.3766388377
755	0.3765028963
756	0.3762977034
757	0.376167046
758	0.3760131177
759	0.3757794803
760	0.3755745855
761	0.3754142641
762	0.3752431035
763	0.3750286335
764	0.3748633361
765	0.374766698
766	0.3746128055
767	0.3743797841
768	0.3742332
769	0.37403085
770	0.3738611634
771	0.3737240428
772	0.3734484893
773	0.3733111364
774	0.3731499772
775	0.3729758837
776	0.3728028368
777	0.3726648791
778	0.37249822
779	0.3723637159
780	0.3722348045
781	0.3720634769
782	0.371761241
783	0.3715872215
784	0.371367965
785	0.3712477279
786	0.3711316481
787	0.3709453674
788	0.3707366013
789	0.3705334304
790	0.3703634654
791	0.3701477697
792	0.3700150759
793	0.3698362337
794	0.3696570464
795	0.3693930505
796	0.3692283785
797	0.3690580823
798	0.3689625384
799	0.3688334782
800	0.3686699809
801	0.3685373809
802	0.3682871048
803	0.3680924505
804	0.3679694511
805	0.3677303538
806	0.3675170728
807	0.3672799276
808	0.3670376851
809	0.3668619212
810	0.3667012053
811	0.3665705283
812	0.3664273261
813	0.3661464961
814	0.365941053
815	0.3657282081
816	0.3655770856
817	0.3653919622
818	0.3651546993
819	0.3650152279
820	0.3648154012
821	0.3646446576
822	0.364481436
823	0.3642813901
824	0.3640876121
825	0.36386092
826	0.3637155016
827	0.3635409851
828	0.3634090637
829	0.3631384391
830	0.3629495805
831	0.3627778591
832	0.3625384176
833	0.3623995069
834	0.3622974626
835	0.3621681365
836	0.3619342962
837	0.361754301
838	0.3615751391
839	0.3613646813
840	0.3612273877
841	0.3610661283
842	0.3608586411
843	0.3606560375
844	0.3604982375
845	0.3603449714
846	0.3601823201
847	0.3599756263
848	0.3597934873
849	0.3596376947
850	0.3595140466
851	0.3593272092
852	0.3591725772
853	0.3588797491
854	0.3587127314
855	0.358557186
856	0.358393435
857	0.3582754875
858	0.3581434775
859	0.3579545483
860	0.357726333
861	0.3575299378
862	0.3573226505
863	0.3571547038
864	0.3569705168
865	0.3568149101
866	0.3566900264
867	0.3565116681
868	0.3563322083
869	0.3562517553
870	0.3560013627
871	0.3558311867
872	0.3557022526
873	0.3554408984
874	0.3552807293
875	0.3550183869
876	0.3549045877
877	0.3547724081
878	0.3546681775
879	0.3544644978
880	0.3543482918
881	0.3541050111
882	0.3539384288
883	0.3537616842
884	0.3536036303
885	0.3535113788
886	0.3533825438
887	0.3532388322
888	0.3530752762
889	0.3529048997
890	0.3527832022
891	0.3526705419
892	0.3524699553
893	0.3523494502
894	0.3522560879
895	0.3521065532
896	0.3520302398
897	0.3519082825
898	0.3517505049
899	0.3515679948
900	0.3514533742
901	0.3512576156
902	0.351035717
903	0.3509082571
904	0.3507447321
905	0.3506230408
906	0.3504844776
907	0.3502456799
908	0.3500926731
909	0.3499557173
910	0.3497926009
911	0.3496442218
912	0.3494634465
913	0.3493868585
914	0.3491974255
915	0.3490701314
916	0.3489724452
917	0.3488004021
918	0.3486991114
919	0.3485684689
920	0.3484722501
921	0.3483518317
922	0.3482333866
923	0.3480431152
924	0.3478007096
925	0.347601315
926	0.3473946842
927	0.3472768289
928	0.3471841437
929	0.3469928885
930	0.3468348643
931	0.3466913885
932	0.3465766858
933	0.3463960967
934	0.3462020478
935	0.3460304535
936	0.3459308171
937	0.3457911408
938	0.3457583452
939	0.3456528935
940	0.3454868005
941	0.3453324699
942	0.3452136652
943	0.3450567299
944	0.3449205025
945	0.344765475
946	0.3446381835
947	0.3444738432
948	0.3443140047
949	0.3441751428
950	0.3440091474
951	0.3438514878
952	0.3437420778
953	0.3435862199
954	0.34341458
955	0.3432931177
956	0.3431560549
957	0.3430238868
958	0.3429162202
959	0.3427662474
960	0.3424719203
961	0.3423583413
962	0.3422402032
963	0.3421732007
964	0.3420766438
965	0.341955482
966	0.3417886319
967	0.3416553713
968	0.3415269384
969	0.3414182156
970	0.3412621912
971	0.3411048505
972	0.3409714484
973	0.3408934452
974	0.3407998371
975	0.3407123884
976	0.3404615082
977	0.3402450983
978	0.340075154
979	0.3399726939
980	0.339798369
981	0.339579464
982	0.3393794885
983	0.3392640721
984	0.3391635958
985	0.3389786455
986	0.3388711902
987	0.3386229387
988	0.3385155668
989	0.3383098237
990	0.3381463352
991	0.3379113983
992	0.3377425297
993	0.3376490194
994	0.3375015848
995	0.3373374328
996	0.337233063
997	0.3371014724
998	0.3369103769
999	0.3368414535
