iter	Passed	Remaining
783	4079	1124
784	4085	1118
785	4091	1113
786	4096	1108
787	4102	1103
788	4107	1098
789	4111	1092
790	4116	1087
791	4121	1082
792	4126	1077
793	4131	1071
794	4136	1066
795	4142	1061
796	4147	1056
797	4153	1051
798	4158	1046
799	4163	1040
800	4168	1035
801	4172	1030
802	4177	1024
803	4181	1019
804	4186	1014
805	4190	1008
806	4194	1003
807	4198	997
808	4202	992
809	4206	986
810	4210	981
811	4215	975
812	4219	970
813	4224	965
814	4228	959
815	4232	954
816	4237	949
817	4241	943
818	4246	938
819	4250	933
820	4254	927
821	4258	922
822	4263	916
823	4268	911
824	4272	906
825	4276	900
826	4281	895
827	4285	890
828	4289	884
829	4294	879
830	4299	874
831	4304	869
832	4309	863
833	4314	858
834	4319	853
835	4323	848
836	4328	842
837	4332	837
838	4337	832
839	4341	826
840	4352	822
841	4356	817
842	4360	812
843	4364	806
844	4368	801
845	4373	796
846	4377	790
847	4381	785
848	4386	780
849	4390	774
850	4395	769
851	4399	764
852	4403	758
853	4408	753
854	4412	748
855	4416	742
856	4420	737
857	4425	732
858	4429	727
859	4433	721
860	4438	716
861	4442	711
862	4447	705
863	4459	701
864	4462	696
865	4467	691
866	4471	685
867	4476	680
868	4480	675
869	4484	670
870	4489	664
871	4494	659
872	4499	654
873	4504	649
874	4509	644
875	4514	639
876	4519	633
877	4524	628
878	4528	623
879	4533	618
880	4538	613
881	4543	607
882	4547	602
883	4552	597
884	4556	592
885	4561	586
886	4565	581
887	4570	576
888	4574	571
889	4579	566
890	4584	560
891	4589	555
892	4594	550
893	4598	545
894	4603	540
895	4607	534
896	4611	529
897	4616	524
898	4621	519
899	4626	514
900	4631	508
901	4636	503
902	4641	498
903	4646	493
904	4651	488
905	4655	483
906	4660	477
907	4664	472
908	4669	467
909	4674	462
910	4679	457
911	4684	451
912	4688	446
913	4693	441
914	4699	436
915	4705	431
916	4710	426
917	4716	421
918	4721	416
919	4726	411
920	4731	405
921	4735	400
922	4740	395
923	4744	390
924	4749	385
925	4754	379
926	4758	374
927	4762	369
928	4767	364
929	4771	359
930	4775	353
931	4779	348
932	4784	343
933	4788	338
934	4792	333
935	4796	327
936	4801	322
937	4805	317
938	4809	312
939	4814	307
940	4818	302
941	4822	296
942	4826	291
943	4831	286
944	4835	281
945	4839	276
946	4844	271
947	4849	265
948	4853	260
949	4857	255
950	4862	250
951	4866	245
952	4871	240
953	4875	235
954	4880	229
955	4884	224
956	4889	219
957	4894	214
958	4899	209
959	4904	204
960	4909	199
961	4914	194
962	4918	188
963	4923	183
964	4927	178
965	4931	173
966	4935	168
967	4939	163
968	4944	158
969	4959	153
970	4963	148
971	4967	143
972	4972	137
973	4978	132
974	4983	127
975	4987	122
976	4992	117
977	4996	112
978	5001	107
979	5005	102
980	5010	97
981	5015	91
982	5020	86
983	5025	81
984	5030	76
985	5035	71
986	5040	66
987	5046	61
988	5052	56
989	5059	51
990	5064	45
991	5069	40
992	5075	35
993	5080	30
994	5084	25
995	5089	20
996	5099	15
997	5103	10
998	5107	5
999	5112	0
